payment_id,type,card_number,ccv,expiry_date,billing_address,city,province,postal_code
7753221,Amex,1.47E+15,959,25-Jun,26179 Mccormick Plaza,Montreal,Quebec,H7G 6R8
5642078,MasterCard,3.86E+15,32,21-Dec,2 Sommers Parkway,Laval,Quebec,H6T 0S6
9542239,Visa,6.74E+15,175,18-Mar,927 Johnson Park,Montreal,Quebec,H5W 5F6
3026137,Visa,5.57E+15,190,21-Dec,128 Northridge Circle,Laval,Quebec,H7R 3M4
7737222,Amex,4.91E+15,677,26-Oct,28 Sunnyside Drive,Montreal,Quebec,H1W 7K8
8803606,Visa,9.37E+15,523,17-Sep,73717 Hovde Point,Laval,Quebec,H5V 6P4
8425484,Amex,3.61E+15,362,25-Dec,5 Nova Avenue,Montreal,Quebec,H5V 5J4
3689390,Visa,6.77E+15,724,23-Jun,7346 Little Fleur Plaza,Montreal,Quebec,H1U 4N5
7993768,MasterCard,5.55E+15,352,25-Oct,1 Briar Crest Alley,Montreal,Quebec,H3D 5U3
1998178,Visa,7.29E+15,126,22-Jan,9 Oak Valley Trail,Montreal,Quebec,H7L 4Q5
5050734,MasterCard,5.44E+15,36,26-Jul,77 American Trail,Montreal,Quebec,H9P 0Y6
1220119,MasterCard,3.74E+15,312,23-Oct,929 Hoepker Drive,Montreal,Quebec,H6C 3B4
7898935,MasterCard,1.12E+15,868,17-May,5 Mitchell Way,Montreal,Quebec,H0K 1R0
2968249,MasterCard,9.41E+15,651,19-Nov,176 Coleman Terrace,Montreal,Quebec,H5Y 4X0
2729817,MasterCard,5.17E+15,392,23-Aug,08660 Linden Road,Montreal,Quebec,H8R 5W5
5195408,Amex,1.19E+15,199,20-Mar,402 Comanche Crossing,Montreal,Quebec,H4C 3J0
4424001,MasterCard,7.48E+14,286,23-Feb,203 Rowland Road,Montreal,Quebec,H2J 8T5
5815983,Visa,9.15E+14,410,21-Jul,5 Dexter Way,Laval,Quebec,H9Z 3D1
2367830,MasterCard,3.43E+15,625,25-Oct,0 Rockefeller Way,Laval,Quebec,H2G 9F5
4769921,Amex,6.41E+15,126,18-Jun,5978 Anderson Place,Montreal,Quebec,H0B 9Y2
9398629,Amex,4.98E+15,770,18-Feb,56 Briar Crest Lane,Montreal,Quebec,H6B 7J7
5335659,Visa,6.62E+15,974,18-Feb,2 Green Terrace,Montreal,Quebec,H1O 9I0
2525964,MasterCard,8.78E+15,106,26-May,0551 Warrior Lane,Montreal,Quebec,H2R 5B8
6241249,Visa,2.05E+14,154,23-May,95013 Boyd Street,Montreal,Quebec,H1O 5L3
1882510,Visa,6.40E+15,610,20-Jan,65395 Hoepker Center,Montreal,Quebec,H0K 3D5
9634866,MasterCard,1.91E+15,384,26-Aug,983 Summerview Center,Laval,Quebec,H8Z 1U4
7459781,Visa,4.39E+14,630,22-Apr,7841 Melvin Crossing,Montreal,Quebec,H0U 6W1
1531727,Visa,1.30E+15,844,24-Jun,97551 Del Mar Place,Montreal,Quebec,H7U 6G2
7869390,MasterCard,3.72E+15,676,18-Jun,8217 Donald Avenue,Montreal,Quebec,H5B 2X3
8755081,MasterCard,1.14E+15,152,20-Jan,23112 John Wall Point,Laval,Quebec,H5O 1L7
3861518,MasterCard,8.83E+15,832,22-Nov,0176 Express Center,Montreal,Quebec,H4L 9X0
7800058,MasterCard,3.76E+15,320,25-Dec,382 Lukken Lane,Montreal,Quebec,H5N 8N2
3631526,MasterCard,1.09E+15,949,19-Dec,8608 Porter Junction,Montreal,Quebec,H7D 6N2
7870438,MasterCard,2.65E+15,348,17-May,4 Drewry Point,Montreal,Quebec,H5T 3I2
1294421,MasterCard,3.14E+15,231,22-Apr,221 Grasskamp Parkway,Montreal,Quebec,H2N 8G2
3005470,MasterCard,2.34E+15,803,21-Aug,12973 Donald Road,Laval,Quebec,H5F 1D4
1233906,MasterCard,1.31E+15,934,26-Aug,96 West Park,Montreal,Quebec,H9O 4X8
9355453,MasterCard,9.67E+15,710,22-Apr,3 Jana Parkway,Montreal,Quebec,H6O 8F9
5068246,MasterCard,3.70E+15,107,22-Jul,783 Brentwood Road,Montreal,Quebec,H1R 3A7
3029167,Visa,8.42E+15,609,24-Mar,7726 Boyd Alley,Montreal,Quebec,H5O 3W1
1268555,MasterCard,1.05E+15,553,21-May,5 Mandrake Place,Montreal,Quebec,H7N 0Y8
7042268,MasterCard,8.84E+14,429,25-Apr,99868 Jenna Way,Montreal,Quebec,H0Y 1Q6
2137455,Amex,7.71E+15,48,24-Jul,05 Maryland Alley,Montreal,Quebec,H8S 8S4
8088578,Visa,4.73E+15,975,22-Aug,50 East Crossing,Montreal,Quebec,H6E 0D9
4743895,MasterCard,8.38E+15,869,25-Feb,6 Eggendart Hill,Laval,Quebec,H1P 8V8
6118849,Visa,9.84E+15,920,18-Jul,6824 Rutledge Center,Montreal,Quebec,H3F 2F3
4842371,MasterCard,6.95E+15,305,22-Mar,838 Paget Park,Montreal,Quebec,H7C 3G9
6322862,MasterCard,7.17E+15,162,26-Oct,14 Homewood Terrace,Laval,Quebec,H4O 2W7
7603733,MasterCard,4.52E+15,627,25-Oct,60 Sundown Crossing,Laval,Quebec,H5F 8C6
3025753,Visa,1.48E+15,737,19-Oct,106 Mariners Cove Point,Montreal,Quebec,H8R 8W7
7377628,Visa,3.25E+15,222,20-Jul,3325 Atwood Place,Montreal,Quebec,H4U 3N9
4507289,MasterCard,9.18E+15,196,17-Oct,234 Hovde Junction,Laval,Quebec,H9K 0D2
1995520,MasterCard,8.75E+15,45,20-Dec,1 North Road,Montreal,Quebec,H9U 3L1
7994359,Amex,2.80E+15,160,21-May,06 Warbler Point,Laval,Quebec,H3G 8Q3
3463143,MasterCard,3.33E+14,659,20-Jan,95533 Golf Terrace,Montreal,Quebec,H4G 9A4
8864958,MasterCard,9.47E+15,460,17-Dec,15 Hoard Center,Montreal,Quebec,H3S 3S0
6796254,Amex,1.92E+15,823,19-Mar,0755 Upham Crossing,Montreal,Quebec,H6Z 8Z5
6027023,Visa,4.21E+15,781,25-Oct,41 Ronald Regan Junction,Montreal,Quebec,H0N 4R7
8324469,Amex,4.78E+15,408,25-Mar,5558 Corry Point,Laval,Quebec,H3A 9L9
4911909,Visa,7.61E+15,460,19-Mar,0 Bonner Avenue,Laval,Quebec,H5O 2B0
1756541,MasterCard,1.76E+15,863,17-Jun,639 Nevada Hill,Montreal,Quebec,H1K 9F9
6140674,Visa,1.42E+15,961,18-Jul,0500 Troy Drive,Montreal,Quebec,H1Y 0H2
6216461,Visa,2.09E+15,824,22-Aug,5 Straubel Junction,Laval,Quebec,H9Z 9H2
6738010,MasterCard,1.22E+15,477,24-Jun,58676 Johnson Junction,Montreal,Quebec,H6B 8A5
7303481,Amex,7.69E+15,643,26-Oct,562 Continental Drive,Montreal,Quebec,H6P 3R7
3065857,Visa,3.87E+15,478,23-Aug,941 Homewood Pass,Montreal,Quebec,H9K 2F5
5705954,Visa,8.50E+14,303,26-Dec,3 Stoughton Parkway,Laval,Quebec,H0T 3P9
1051796,MasterCard,1.91E+15,849,20-Apr,206 Hallows Junction,Montreal,Quebec,H9V 6S9
1717892,MasterCard,2.97E+15,657,22-May,390 Beilfuss Circle,Laval,Quebec,H3A 7O7
5401214,MasterCard,1.84E+15,561,23-Jul,191 Reinke Park,Montreal,Quebec,H4Q 0T1
2208821,MasterCard,8.48E+15,12,20-Feb,49847 Vernon Plaza,Montreal,Quebec,H3R 1W1
5211939,MasterCard,9.48E+15,508,23-Dec,73910 Meadow Ridge Drive,Montreal,Quebec,H4R 2P4
9568764,MasterCard,8.15E+15,435,26-Jan,613 Butterfield Place,Laval,Quebec,H0F 6U2
7701893,Visa,2.38E+15,426,25-Nov,6061 Crowley Way,Montreal,Quebec,H4M 6V4
5958264,Visa,7.20E+15,121,25-Oct,3 Sachs Point,Montreal,Quebec,H6Y 8W6
1494196,Visa,1.57E+14,128,19-Jan,0244 Blackbird Alley,Montreal,Quebec,H3G 1I9
8098078,Visa,2.23E+15,712,21-Feb,024 Darwin Park,Montreal,Quebec,H8H 3E1
8550085,MasterCard,4.56E+15,554,20-Nov,53432 Novick Plaza,Montreal,Quebec,H7Z 9E7
6357014,MasterCard,3.03E+15,57,23-Jan,9 Macpherson Court,Montreal,Quebec,H1O 0W0
1810215,Visa,7.34E+15,903,20-Jun,70 Oxford Lane,Montreal,Quebec,H1V 1J7
2743108,Amex,9.69E+15,965,19-Mar,8336 Fuller Lane,Montreal,Quebec,H7G 6B1
4820975,Amex,8.48E+15,978,18-Mar,7196 American Plaza,Montreal,Quebec,H0Q 7K6
5393365,MasterCard,7.89E+15,804,24-Dec,474 Evergreen Circle,Montreal,Quebec,H5X 5H4
9066630,Visa,1.76E+15,804,21-Dec,114 Valley Edge Lane,Montreal,Quebec,H9R 4S2
6082626,MasterCard,9.50E+15,289,21-Nov,08479 Stang Street,Laval,Quebec,H4A 4P3
9728861,Amex,6.27E+15,26,22-Oct,10 Talisman Circle,Laval,Quebec,H1O 7F4
4819712,Visa,7.80E+15,431,21-Mar,257 Comanche Park,Montreal,Quebec,H9H 0M9
3267536,Visa,5.29E+15,402,17-Aug,80197 Miller Pass,Montreal,Quebec,H6D 5J9
4816470,Amex,9.40E+15,463,18-Aug,5 Fordem Street,Montreal,Quebec,H1B 6G0
7131879,MasterCard,6.65E+15,668,19-May,6 Lyons Point,Montreal,Quebec,H7F 8B2
2992281,MasterCard,1.58E+15,80,22-Jun,7 Starling Crossing,Montreal,Quebec,H5L 3S5
8512498,Visa,6.77E+15,21,17-Apr,54 Spohn Crossing,Montreal,Quebec,H0L 9F7
1877999,Visa,4.02E+13,245,26-Jun,3 Superior Lane,Montreal,Quebec,H9T 5F0
2177190,MasterCard,9.35E+15,14,21-Jul,13 Clyde Gallagher Place,Montreal,Quebec,H4I 7V3
2678119,Visa,6.45E+15,450,19-Oct,18993 Riverside Parkway,Montreal,Quebec,H9P 4Y2
2048787,MasterCard,3.28E+15,476,26-Jun,3 La Follette Way,Montreal,Quebec,H4W 7H9
6669317,MasterCard,4.92E+15,855,17-Apr,684 Cherokee Center,Montreal,Quebec,H6N 3H2
8613882,Visa,3.79E+15,789,21-Apr,7588 Declaration Trail,Montreal,Quebec,H7E 5H7
3486003,Amex,5.66E+15,403,23-Jun,426 Ridge Oak Trail,Montreal,Quebec,H6T 7E8
4455705,Visa,4.69E+15,632,22-May,3 Pepper Wood Crossing,Montreal,Quebec,H8M 7L9
1284141,Visa,9.31E+15,891,20-Dec,0 Melody Place,Montreal,Quebec,H2B 5K9
1980666,MasterCard,9.74E+15,807,19-Oct,218 Morrow Hill,Laval,Quebec,H4O 3S1
5028208,Visa,4.23E+15,375,23-Aug,1 Fordem Drive,Montreal,Quebec,H0W 9S9
7631050,MasterCard,9.25E+15,739,21-Feb,6 Canary Circle,Montreal,Quebec,H4A 1R5
2636510,Visa,7.81E+15,668,17-Aug,37360 Del Sol Crossing,Montreal,Quebec,H4T 4J0
3432102,MasterCard,9.11E+15,34,20-Jan,910 Mcbride Lane,Laval,Quebec,H7B 0B0
6462232,MasterCard,2.32E+15,423,21-Jun,5 Fair Oaks Place,Laval,Quebec,H8V 1Q8
4285275,MasterCard,7.11E+15,907,19-Mar,6 Forest Run Junction,Montreal,Quebec,H5P 3V8
4278502,MasterCard,6.14E+15,90,18-May,4 Dunning Parkway,Laval,Quebec,H6A 3U7
7002714,MasterCard,3.96E+14,60,25-Sep,8 Helena Road,Montreal,Quebec,H4N 8Z7
6863675,MasterCard,9.00E+15,469,25-Jul,12 Gale Lane,Montreal,Quebec,H6F 7G0
8406585,MasterCard,3.48E+15,555,26-Jul,55139 Shasta Center,Montreal,Quebec,H4D 2G6
1804654,Visa,5.73E+15,373,18-Nov,564 Calypso Alley,Montreal,Quebec,H1J 3I6
4955898,Visa,5.18E+15,867,22-Jul,6992 Di Loreto Circle,Laval,Quebec,H4U 0U5
7087975,Amex,6.75E+15,724,24-Aug,381 Gateway Terrace,Montreal,Quebec,H3X 9Q9
7053108,Visa,7.93E+15,435,25-Nov,988 Chive Trail,Montreal,Quebec,H2V 2Q8
9947968,Visa,8.63E+15,412,19-Sep,224 Hansons Street,Laval,Quebec,H3X 8N3
2907807,MasterCard,4.33E+15,304,20-Jan,42652 Kropf Lane,Laval,Quebec,H9X 8H0
9061303,Visa,3.58E+15,485,18-Jul,7 Badeau Terrace,Montreal,Quebec,H9B 7B4
3757958,MasterCard,7.63E+15,166,22-Mar,7 Debra Center,Montreal,Quebec,H5G 9Q2
6105532,MasterCard,9.84E+15,189,21-Aug,60 Dahle Lane,Montreal,Quebec,H2F 5R4
4494794,MasterCard,6.17E+15,10,22-Aug,7814 Haas Avenue,Laval,Quebec,H2Z 6P4
8568278,MasterCard,7.90E+15,425,20-Oct,6 Schurz Parkway,Montreal,Quebec,H9Q 7Q6
3259458,MasterCard,8.45E+15,61,22-May,07 Acker Lane,Montreal,Quebec,H7U 0A2
3325760,MasterCard,7.83E+15,616,21-Oct,393 Badeau Point,Montreal,Quebec,H1E 7C6
4124619,MasterCard,8.10E+15,357,18-Jan,140 Nelson Road,Montreal,Quebec,H7Z 2O5
5776851,Visa,8.29E+15,142,19-May,32 Elka Park,Montreal,Quebec,H0O 0C4
8869886,MasterCard,9.37E+15,684,24-Mar,16 Dorton Parkway,Montreal,Quebec,H8S 0D9
8815747,Amex,8.61E+15,972,19-Jul,74 Morning Pass,Montreal,Quebec,H3B 5O8
9188247,Amex,5.75E+14,544,26-Oct,10006 Sommers Hill,Montreal,Quebec,H5C 0O0
6859643,Visa,5.81E+14,45,18-Jul,815 Coleman Avenue,Montreal,Quebec,H5Z 3W6
3333978,Visa,7.96E+15,431,20-Aug,597 Red Cloud Circle,Laval,Quebec,H5Z 2X7
1802157,Amex,5.00E+15,892,20-Jan,9 Starling Place,Laval,Quebec,H8N 6B2
6560950,MasterCard,1.49E+15,65,22-Jun,7894 Spenser Avenue,Laval,Quebec,H7U 4Z0
1503130,Visa,8.29E+15,247,26-Oct,66 6th Plaza,Montreal,Quebec,H4L 0F9
7544938,Amex,8.02E+15,925,25-May,83878 Hanson Pass,Montreal,Quebec,H6M 1Z0
4776342,Visa,1.74E+15,710,23-Apr,2411 Vernon Alley,Laval,Quebec,H7P 1S6
1857986,Visa,3.11E+14,261,21-Jul,91912 Susan Plaza,Montreal,Quebec,H9V 9K9
8371656,MasterCard,2.95E+15,285,19-Aug,428 Cordelia Alley,Montreal,Quebec,H1C 8I2
9782028,Visa,2.04E+15,418,26-Jul,72 Coleman Circle,Montreal,Quebec,H0E 4U0
6995212,Amex,9.71E+15,834,22-Oct,43 Thierer Circle,Laval,Quebec,H0X 6L5
1848373,MasterCard,4.36E+15,497,17-Sep,55947 Westerfield Terrace,Montreal,Quebec,H7Q 1C6
8714316,Visa,8.88E+15,397,23-Aug,5 Summer Ridge Circle,Montreal,Quebec,H8B 6A5
6646639,MasterCard,7.80E+15,96,20-Oct,56149 Warbler Park,Montreal,Quebec,H9K 9N2
2753546,MasterCard,8.09E+15,725,23-Dec,41 Algoma Trail,Laval,Quebec,H7F 1X1
5408540,MasterCard,8.52E+15,882,24-Oct,6 Sunnyside Trail,Laval,Quebec,H0O 6S8
2351870,Visa,9.47E+15,765,23-Aug,3 Mccormick Street,Montreal,Quebec,H3H 1Y5
8736776,Amex,5.67E+15,730,18-Nov,770 Stoughton Center,Montreal,Quebec,H9Z 0J5
2054679,Amex,7.21E+15,399,22-Mar,94773 Ilene Junction,Laval,Quebec,H3V 3U2
4377149,Visa,9.15E+15,484,24-Aug,54048 Aberg Lane,Montreal,Quebec,H0E 1S2
4552301,MasterCard,8.90E+15,601,20-Dec,3310 Linden Avenue,Montreal,Quebec,H6N 1U2
8843061,MasterCard,1.09E+15,87,23-Jun,618 Thierer Street,Laval,Quebec,H4D 9Y4
6336274,Visa,4.79E+15,632,17-Jun,9976 Victoria Plaza,Laval,Quebec,H8G 2H6
5768942,Visa,4.26E+15,848,23-Jul,57484 Melvin Pass,Montreal,Quebec,H7M 3M1
5147354,MasterCard,8.73E+15,251,25-Jan,0602 5th Road,Laval,Quebec,H8X 8P3
4537254,Visa,7.18E+15,33,21-Apr,10573 Springs Way,Montreal,Quebec,H4K 6F1
2335175,MasterCard,5.86E+15,83,25-Jan,61615 Raven Avenue,Montreal,Quebec,H1X 1F8
1865570,Amex,3.38E+15,340,18-Dec,36 Crest Line Plaza,Montreal,Quebec,H9N 5K2
1697782,Visa,4.09E+15,25,23-Sep,989 David Parkway,Montreal,Quebec,H4Y 6S9
3404300,Amex,2.18E+15,24,23-Jul,422 Nelson Place,Montreal,Quebec,H9U 7V6
8978183,Visa,8.99E+15,203,20-Feb,618 Fairfield Center,Montreal,Quebec,H6Y 5M8
8270195,MasterCard,6.94E+15,42,17-Dec,165 Cherokee Trail,Montreal,Quebec,H4P 3C2
4751887,Visa,1.35E+15,34,19-Mar,91 Vidon Lane,Montreal,Quebec,H9D 7F4
9171204,MasterCard,9.82E+14,209,26-Sep,36247 Spohn Trail,Montreal,Quebec,H4Q 8U7
7203191,Amex,9.53E+15,351,18-Sep,015 Colorado Junction,Laval,Quebec,H7T 6B1
6465725,Visa,3.71E+15,746,20-Jul,3300 Maryland Point,Laval,Quebec,H9A 1V6
5652392,Visa,2.08E+15,328,24-Aug,91 Fisk Drive,Laval,Quebec,H8Z 6M7
5689118,Visa,8.78E+15,422,20-Aug,5919 Pleasure Road,Montreal,Quebec,H0X 1C3
6462484,MasterCard,9.59E+15,825,26-Nov,59 Mallory Circle,Laval,Quebec,H1Y 1C1
9683765,MasterCard,1.85E+15,722,24-Apr,5051 Farragut Lane,Montreal,Quebec,H1B 0H0
3260721,Visa,9.59E+15,399,23-Jul,35435 Thackeray Junction,Laval,Quebec,H9P 5N1
1152462,Amex,1.66E+15,78,23-Feb,41611 Banding Parkway,Montreal,Quebec,H9X 3Z6
7075138,MasterCard,1.58E+15,283,25-Jan,98 Northland Place,Montreal,Quebec,H2P 8F0
7518146,Visa,6.33E+15,591,25-Dec,4 Caliangt Parkway,Montreal,Quebec,H8C 9A9
1040332,MasterCard,6.52E+15,6,20-Sep,61 Village Circle,Montreal,Quebec,H9O 1X6
1250105,MasterCard,7.48E+14,191,23-Mar,6 Darwin Place,Laval,Quebec,H7F 4G2
7367890,MasterCard,5.41E+14,470,26-Dec,75631 Onsgard Parkway,Montreal,Quebec,H9P 9S0
6024654,Amex,4.28E+15,287,26-Aug,044 Elgar Trail,Montreal,Quebec,H1J 9S9
6193250,Visa,6.59E+15,132,24-Jul,2 Vahlen Drive,Montreal,Quebec,H7V 0W1
9217071,Visa,9.08E+15,981,21-Dec,7 Redwing Way,Montreal,Quebec,H3F 8X8
1288379,Visa,6.91E+15,59,17-Sep,06498 Starling Park,Montreal,Quebec,H6X 6W4
2567216,Visa,6.84E+15,630,18-May,35871 Orin Plaza,Montreal,Quebec,H1E 4G4
1629734,MasterCard,5.05E+15,735,20-May,884 Dovetail Hill,Montreal,Quebec,H8P 5T3
9329411,Visa,2.67E+15,405,20-Jan,55 Cherokee Lane,Montreal,Quebec,H8D 8V5
1117329,MasterCard,6.84E+15,240,21-Feb,24 Old Gate Parkway,Montreal,Quebec,H0A 8B1
5407367,MasterCard,6.76E+15,639,18-Apr,300 Mendota Junction,Montreal,Quebec,H9I 4M8
4175444,Amex,5.30E+15,855,19-Apr,3034 Loftsgordon Junction,Montreal,Quebec,H6N 0H6
4835018,MasterCard,7.64E+15,203,21-Apr,4547 Graedel Lane,Laval,Quebec,H8S 4Y1
6214837,Amex,3.88E+15,121,19-Sep,6 Canary Hill,Montreal,Quebec,H7B 4W0
4980432,MasterCard,1.81E+15,121,25-Oct,41 Loftsgordon Parkway,Montreal,Quebec,H0I 8O2
9104176,MasterCard,9.07E+15,691,20-Aug,25275 Stoughton Terrace,Montreal,Quebec,H8Y 2B1
2026811,MasterCard,8.73E+15,543,20-Aug,93566 Ridge Oak Hill,Laval,Quebec,H1X 4Y6
5674122,Amex,8.24E+15,864,25-Oct,36125 Lillian Place,Laval,Quebec,H0V 7Z9
5962804,Amex,5.72E+15,714,23-Sep,188 Northland Alley,Montreal,Quebec,H4P 5P2
5340249,MasterCard,8.24E+15,800,21-Apr,96037 Buena Vista Lane,Laval,Quebec,H9X 3M1
4829670,Visa,4.99E+15,803,17-Apr,5963 High Crossing Trail,Laval,Quebec,H6I 9S6
3966283,MasterCard,1.15E+15,926,24-May,49 Dennis Alley,Laval,Quebec,H3Z 9N3
8018379,MasterCard,3.41E+14,967,26-Apr,07 Park Meadow Way,Laval,Quebec,H8S 4H6
6100358,MasterCard,1.38E+15,447,21-Jun,68 Walton Plaza,Montreal,Quebec,H1P 8F7
2233072,MasterCard,6.49E+15,850,21-Oct,2945 2nd Center,Montreal,Quebec,H6A 2W4
6613183,MasterCard,3.45E+15,341,19-Mar,5390 1st Avenue,Montreal,Quebec,H7L 4Q4
3316971,MasterCard,9.74E+15,65,21-Jun,61186 Waubesa Terrace,Montreal,Quebec,H3P 5G7
6102349,MasterCard,9.52E+15,95,18-Jun,7 Loomis Lane,Montreal,Quebec,H7X 1K6
7919342,MasterCard,9.64E+14,835,21-Mar,25689 Crownhardt Point,Montreal,Quebec,H0C 5U1
9288511,Visa,4.78E+15,178,17-Jul,847 Spaight Road,Montreal,Quebec,H6S 4H4
2537992,MasterCard,8.24E+15,482,25-Aug,62881 Cody Lane,Laval,Quebec,H0K 4D0
6959001,MasterCard,5.94E+15,649,17-Aug,965 Service Plaza,Montreal,Quebec,H4P 5R2
5660685,Visa,6.54E+15,825,20-Jul,885 Iowa Avenue,Laval,Quebec,H7Y 2I1
9412129,MasterCard,3.21E+15,978,26-Nov,36 Dorton Crossing,Laval,Quebec,H9U 4Y7
1560812,MasterCard,1.12E+15,871,22-Aug,296 Dapin Way,Montreal,Quebec,H0M 7M2
4908830,Visa,3.81E+15,489,17-Oct,527 Merry Center,Montreal,Quebec,H5P 2H0
7685941,Visa,8.61E+15,567,18-Jul,1 Clyde Gallagher Hill,Laval,Quebec,H7L 1R0
2797657,MasterCard,9.00E+14,751,25-Aug,88 Dorton Terrace,Montreal,Quebec,H5W 6X4
9332417,Amex,7.42E+14,220,20-Jul,82 Mccormick Place,Laval,Quebec,H7Q 5U4
6668458,MasterCard,3.34E+15,103,21-May,08602 Huxley Street,Montreal,Quebec,H6F 7W7
6617611,Visa,2.57E+15,667,27-Jan,9 Elmside Alley,Montreal,Quebec,H0T 1C2
9312714,Visa,6.12E+15,77,22-Jul,46505 Gina Terrace,Montreal,Quebec,H5S 5N5
7949959,Visa,5.64E+15,630,22-Mar,474 Sauthoff Street,Laval,Quebec,H7Q 0R5
9027050,Visa,3.69E+15,298,23-Nov,98 Prentice Court,Laval,Quebec,H0R 6V3
4606380,Visa,8.73E+15,713,24-Aug,53 Lakewood Circle,Montreal,Quebec,H0L 7W2
8225023,Visa,6.45E+15,271,18-Jun,8780 Melby Pass,Montreal,Quebec,H0L 2Z3
5503485,MasterCard,2.10E+15,232,23-Jun,5 East Way,Montreal,Quebec,H1L 3V9
5104765,Amex,5.48E+15,199,23-Jun,09 Forest Dale Pass,Montreal,Quebec,H6I 2O1
8777144,Amex,1.82E+15,204,20-Sep,4531 Northview Plaza,Montreal,Quebec,H5A 1W8
8472753,Visa,3.84E+15,366,20-Oct,3586 Arkansas Plaza,Montreal,Quebec,H0I 7Y9
7688079,MasterCard,1.52E+15,1,22-Mar,257 Glendale Plaza,Montreal,Quebec,H1M 4N2
7307393,MasterCard,5.25E+15,957,18-May,4 Rigney Pass,Montreal,Quebec,H4D 6F4
9846661,MasterCard,9.85E+15,54,19-Jul,3 Bluestem Way,Laval,Quebec,H8M 0V4
6495887,MasterCard,7.63E+15,971,24-Apr,24754 Michigan Point,Montreal,Quebec,H4S 3W2
7741179,Visa,6.69E+15,336,24-Jun,08 Nelson Alley,Montreal,Quebec,H0C 2G2
4735614,MasterCard,1.44E+15,37,18-May,64 Esker Terrace,Montreal,Quebec,H3C 5O2
6488055,Visa,7.62E+15,487,17-Oct,4 Vermont Pass,Laval,Quebec,H9T 5D9
2015424,MasterCard,6.18E+15,872,24-Jun,43104 Donald Court,Montreal,Quebec,H1C 0L6
